0.000000;0.000000
0.060606;0.071755
0.121212;0.152784
0.181818;0.242487
0.242424;0.340267
0.303030;0.445525
0.363636;0.557663
0.424242;0.676084
0.484848;0.800187
0.545455;0.929376
0.606061;1.063052
0.666667;1.200617
0.727273;1.341473
0.787879;1.485020
0.848485;1.630662
0.909091;1.777799
0.969697;1.925833
1.030303;2.074167
1.090909;2.222201
1.151515;2.369338
1.212121;2.514980
1.272727;2.658527
1.333333;2.799383
1.393939;2.936948
1.454545;3.070624
1.515152;3.199813
1.575758;3.323916
1.636364;3.442337
1.696970;3.554475
1.757576;3.659733
1.818182;3.757513
1.878788;3.847216
1.939394;3.928245
2.000000;4.000000
2.060606;4.062044
2.121212;4.114578
2.181818;4.157964
2.242424;4.192564
2.303030;4.218739
2.363636;4.236852
2.424242;4.247264
2.484848;4.250336
2.545455;4.246431
2.606061;4.235911
2.666667;4.219136
2.727273;4.196469
2.787879;4.168271
2.848485;4.134905
2.909091;4.096732
2.969697;4.054113
3.030303;4.007411
3.090909;3.956987
3.151515;3.903203
3.212121;3.846421
3.272727;3.787002
3.333333;3.725309
3.393939;3.661702
3.454545;3.596544
3.515152;3.530196
3.575758;3.463021
3.636364;3.395379
3.696970;3.327634
3.757576;3.260145
3.818182;3.193276
3.878788;3.127387
3.939394;3.062841
4.000000;3.000000
4.060606;2.939106
4.121212;2.879931
4.181818;2.822126
4.242424;2.765344
4.303030;2.709237
4.363636;2.653456
4.424242;2.597655
4.484848;2.541485
4.545455;2.484598
4.606061;2.426647
4.666667;2.367284
4.727273;2.306161
4.787879;2.242930
4.848485;2.177243
4.909091;2.108753
4.969697;2.037111
5.030303;1.961970
5.090909;1.882983
5.151515;1.799800
5.212121;1.712075
5.272727;1.619459
5.333333;1.521605
5.393939;1.418165
5.454545;1.308790
5.515152;1.193134
5.575758;1.070849
5.636364;0.941585
5.696970;0.804997
5.757576;0.660735
5.818182;0.508452
5.878788;0.347801
5.939394;0.178433
6.000000;0.000000
